City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,vorkuta,67.5,64.0,19.13,56,59,4.91,RU,1724677689
118,olavarria,-36.8927,-60.3225,6.93,70,69,4.92,AR,1724677710
119,dili,-8.5586,125.5736,26.1,64,4,3.9,TL,1724677485
120,touros,-5.1989,-35.4608,28.0,60,96,8.05,BR,1724677712
121,tyukhtet,56.5389,89.3011,14.33,82,52,5.01,RU,1724677714
122,burao,9.5221,45.5336,32.76,24,5,7.69,SO,1724677715
123,samut sakhon,13.5833,100.3,31.99,79,100,3.4,TH,1724677717
124,port alfred,-33.5906,26.891,24.64,39,100,7.48,ZA,1724677718
125,georgetown,5.4112,100.3354,27.96,74,20,1.54,MY,1724677719
126,yinchuan,38.4681,106.2731,23.27,40,3,3.8,CN,1724677589
127,nowy dwor gdanski,54.2131,19.1177,22.87,42,100,3.32,PL,1724677722
128,callao,-12.0667,-77.15,15.16,94,100,4.63,PE,1724677723
129,portel,-1.9356,-50.8211,30.65,53,48,1.37,BR,1724677725
130,ilulissat,69.2167,-51.1,6.01,87,75,1.54,GL,1724677726
131,nakatsugawa,35.4833,137.5,25.06,94,28,1.53,JP,1724677728
132,ziway,7.9333,38.7167,25.04,53,36,5.0,ET,1724677533
133,la'ie,21.6477,-157.9253,25.98,87,100,4.47,US,1724677732
134,paramonga,-10.6667,-77.8333,17.49,88,90,3.69,PE,1724677733
135,shakawe,-18.3667,21.85,33.34,9,81,2.78,BW,1724677734
136,wanning,18.8003,110.3967,27.94,81,8,1.99,CN,1724677736
137,port saint john's,-31.6229,29.5448,25.35,48,0,4.35,ZA,1724677737
138,kailua-kona,19.6406,-155.9956,24.77,97,72,0.45,US,1724677738
139,belmonte,-15.8631,-38.8828,26.19,62,28,2.55,BR,1724677740
140,paita,-5.0892,-81.1144,17.59,87,89,4.16,PE,1724677741
141,vila franca do campo,37.7167,-25.4333,25.23,64,30,4.29,PT,1724677443
142,saldanha,-33.0117,17.9442,15.39,86,100,10.86,ZA,1724677744
143,aktau,43.65,51.2,33.32,30,37,8.28,KZ,1724677171
144,darhan,49.4867,105.9228,23.24,61,69,0.78,MN,1724677746
145,papatowai,-46.5619,169.4708,7.83,91,100,5.71,NZ,1724677748
146,wanxian,30.8039,108.3897,31.48,65,98,0.85,CN,1724677749
147,emerald,-23.5333,148.1667,20.5,58,0,3.48,AU,1724677751
148,bardstown,37.8092,-85.4669,24.68,85,0,1.54,US,1724677752
149,tursunzoda,38.5144,68.2333,32.7,12,0,3.96,TJ,1724677753
150,nova sintra,14.8667,-24.7167,26.14,71,15,4.48,CV,1724677678
151,port isabel,26.0734,-97.2086,26.68,85,0,0.0,US,1724677756
152,college,64.8569,-147.8028,8.98,88,100,1.54,US,1724677758
153,lihue,21.9789,-159.3672,25.77,75,100,9.26,US,1724677759
154,ponta delgada,37.7333,-25.6667,25.4,69,40,5.66,PT,1724677760
155,whitehorse,60.7161,-135.0538,7.95,81,99,3.58,CA,1724677679
